Step,x-coordinate,y-coordinate,Actions
293, 20, 41, LF
294, 19, 41, F
295, 18, 41, F
296, 17, 41, LF
297, 17, 40, LF
298, 18, 40, RF
299, 18, 39, LF
300, 19, 39, F
301, 20, 39, RRF
302, 19, 39, LF
303, 19, 38, F
304, 19, 37, RRF
305, 19, 38, LF
306, 18, 38, LF
307, 18, 37, F
308, 18, 36, LF
309, 19, 36, RRF
310, 18, 36, F
311, 17, 36, F
312, 16, 36, RRF
313, 17, 36, LF
314, 17, 37, LF
315, 16, 37, RRF
316, 17, 37, RF
317, 17, 36, LF
318, 18, 36, LF
319, 18, 37, F
320, 18, 38, LF
321, 17, 38, F
322, 16, 38, RF
323, 16, 39, RRF
324, 16, 38, LF
325, 17, 38, F
326, 18, 38, F
327, 19, 38, LF
328, 19, 39, LF
329, 18, 39, F
330, 17, 39, RRF
331, 18, 39, LF
332, 18, 40, LF
333, 17, 40, RF
334, 17, 41, LF
335, 16, 41, LF
336, 16, 40, RF
337, 15, 40, LF
338, 15, 39, F
339, 15, 38, RF
340, 14, 38, RRF
341, 15, 38, LF
342, 15, 39, F
343, 15, 40, RF
344, 16, 40, LF
345, 16, 41, LF
346, 15, 41, F
347, 14, 41, LF
348, 14, 40, F
349, 14, 39, RF
350, 13, 39, LF
351, 13, 38, F
352, 13, 37, LF
353, 14, 37, RF
354, 14, 36, RRF
355, 14, 37, LF
356, 13, 37, LF
357, 13, 36, F
358, 13, 35, LF
359, 14, 35, F
360, 15, 35, LF
361, 15, 36, F
362, 15, 37, RRF
363, 15, 36, F
364, 15, 35, RF
365, 14, 35, LF
366, 14, 34, LF
367, 15, 34, RF
368, 15, 33, LF
369, 16, 33, F
370, 17, 33, LF
371, 17, 34, F
372, 17, 35, LF
373, 16, 35, LF
374, 16, 34, RRF
375, 16, 35, RF
376, 17, 35, RF
377, 17, 34, LF
378, 18, 34, LF
379, 18, 35, RF
380, 19, 35, RRF
381, 18, 35, LF
382, 18, 34, RF
383, 17, 34, LF
384, 17, 33, RF
385, 16, 33, F
386, 15, 33, LF
387, 15, 32, LF
388, 16, 32, RRF
389, 15, 32, LF
390, 15, 31, LF
391, 16, 31, RF
392, 16, 30, F
393, 16, 29, RF
394, 15, 29, F
395, 14, 29, F
396, 13, 29, RF
397, 13, 30, F
398, 13, 31, LF
399, 12, 31, F
400, 11, 31, RF
401, 11, 32, F
402, 11, 33, RRF
403, 11, 32, LF
404, 12, 32, LF
405, 12, 33, RRF
406, 12, 32, LF
407, 13, 32, F
